Case,Time Uncertainty,Mean Error,Total Communication,Effectiveness
No Filter,4e-09,1.1619747726156822,108.0,0.033202310259054554
No Filter,4e-09,1.1488182894885988,104.0,0.034874185874893465
No Filter,4e-09,1.191537180878396,291.0,0.012016781669320804
No Filter,4e-09,1.1052476252926062,99.0,0.03807973989213478
No Filter,4e-09,1.1729309645765373,971.0,0.0036584496036976537
No Filter,4e-09,1.1738773878308273,180.0,0.019719391810521975
No Filter,4e-09,1.1606550941432427,115.0,0.031216753573736038
No Filter,4e-09,1.160746596056931,111.0,0.03233913212845333
No Filter,4e-09,1.1488096815108022,106.0,0.034216438748091556
No Filter,4e-09,1.127045753997451,155.0,0.023851489910469356
No Filter,4e-09,1.1815103029915393,109.0,0.0323537590805616
No Filter,4e-09,1.1076527042378623,85.0,0.04425539490454814
No Filter,4e-09,1.1053579357482253,97.0,0.038861010602329736
No Filter,4e-09,1.148654440771651,169.0,0.02146409875068889
No Filter,4e-09,1.146572749393719,201.0,0.018079694393356865
No Filter,4e-09,1.1421350795721652,138.0,0.026435784396260723
No Filter,4e-09,1.1253290948432564,131.0,0.028264279242252836
No Filter,4e-09,1.1177992911045729,135.0,0.027611573720327912
No Filter,4e-09,1.1686971295914443,108.0,0.033011330255484764
No Filter,4e-09,1.1829193598197913,579.0,0.006083521608410593
No Filter,4e-09,1.148540455876635,233.0,0.015569925695704081
No Filter,4e-09,1.5482310402058974,447.0,0.006020678888864004
No Filter,4e-09,1.1219715828498291,114.0,0.0325763220397278
No Filter,4e-09,1.1301002700212692,113.0,0.03262821655771211
No Filter,4e-09,1.1465539561723408,80.0,0.04542597673048768
No Filter,4e-09,1.113129494523153,98.0,0.038195921509504786
No Filter,4e-09,1.124752293585088,152.0,0.024371838010998136
No Filter,4e-09,1.1524587835481115,256.0,0.014122883958207252
No Filter,4e-09,1.1541586825309798,199.0,0.018141373250921453
No Filter,4e-09,1.1266308911730847,334.0,0.011072881098804395
No Filter,4e-09,1.145858404231869,168.0,0.021644548061078413
No Filter,4e-09,1.1306796327824424,129.0,0.028566660852094857
No Filter,4e-09,1.1540963359531669,119.0,0.030338893306790432
No Filter,4e-09,1.1310747267440922,131.0,0.028120702393943365
No Filter,4e-09,1.1266745711999666,147.0,0.025157815687297816
No Filter,4e-09,1.1289356586718473,146.0,0.02527939707295899
No Filter,4e-09,1.1389051561191375,100.0,0.036584843296914575
No Filter,5e-09,1.4605148829369037,112.0,0.025472099864926986
No Filter,5e-09,1.4410312782891754,105.0,0.027537597747115998
No Filter,5e-09,1.4249292347760387,179.0,0.01633587608664947
